pattern	alternatives
\bno\s+interest\b	no motivation|loss of interest|not interested|lack of interest|anhedonia
\bloss of interest\b	loss of pleasure|anhedonia|not enjoying things|no longer interested
\bfeel(s|ing)?\s+sad\b	feels down|feels blue|feels low|feels depressed
\bdepressed\b	down|blue|low|in a slump
\banxiety\b	nervousness|unease|restlessness|feeling on edge
\binsomnia\b	trouble sleeping|difficulty sleeping|sleep problems|can't sleep
\bcan('?|no)t\s+sleep\b	insomnia|unable to sleep|can't fall asleep
\boversleep(ing)?\b	sleeping too much|excessive sleep|hypersomnia
\bfatigue\b	tiredness|exhaustion|low energy|weariness
\bguilt(y)?\b	self-blame|feeling guilty|remorse
\bcry(ing|ies)?\b	tearful|in tears|crying spells
\bworthless(ness)?\b	feeling worthless|low self-worth|feeling like a burden|like I don't matter
\bhopeless(ness)?\b	without hope|like nothing will change|feeling hopeless
\bhelpless(ness)?\b	powerless|without control|unable to cope
\bsuicidal\b	thoughts of self-harm|thinking about death|suicide ideation
\bI\s+don't\s+want\s+to\s+live\b	I do not want to live|I struggle to want to live|I don't want to keep living
\bI\s+don't\s+want\s+to\s+be\s+alive\b	I do not want to be alive|I can't stand being alive|being alive feels unbearable
\bI\s+want\s+to\s+die\b	I feel like dying|I wish I could die|I want death to come
\bappetite\s+loss\b	poor appetite|eating less|reduced appetite
\bno\s+appetite\b	zero appetite|can't eat|no desire to eat
\bbinge\s+eating\b	overeating episodes|eating binges|loss of control eating
\bI\s+feel\s+worthless\b	I feel utterly worthless|I feel like I'm nothing|I feel completely worthless
\bI\s+feel\s+hopeless\b	I feel utterly hopeless|I feel like nothing will improve|I feel completely hopeless
\bI\s+feel\s+helpless\b	I feel powerless|I feel unable to cope|I feel completely helpless
\bI\s+feel\b	I truly feel|I deeply feel|I honestly feel
\bI\s+am\b	I am really|I am truly|I am genuinely
\bI'm\b	I'm really|I'm truly|I'm genuinely
\bcan't\b	cannot|unable to|just can't
\bcannot\b	can't|unable to|not able to
\bcouldn't\b	could not|wasn't able to|could never
\bdon'?t\b	do not|never|simply do not
\bwon'?t\b	will not|refuse to|just won't
\bnever\b	hardly ever|at no point|not once
\balways\b	constantly|all the time|without stopping
\bnobody\b	no one|not a single person|nobody at all
\bno\s+one\b	nobody|not a single person|no person
\bno\s+friends\b	no close friends|nobody I can call a friend|no real friends
\blonely\b	isolated|on my own|all alone
\brestless(ness)?\b	agitation|can't sit still|fidgety|unceasing restlessness
\bslow(ed)?\s+movements?\b	psychomotor slowing|moving slowly|sluggish movements|dragging my movements
\birritable\b	short-tempered|easily annoyed|irritability
\bconcentration\s+problems\b	trouble focusing|difficulty concentrating|can't concentrate|focus issues
\bno\s+energy\b	zero energy|no strength|totally drained
\blow\s+energy\b	low vitality|running on empty|barely any energy
\btired\b	exhausted|worn out|drained
\bso\s+tired\b	completely exhausted|utterly worn out|beyond tired
\bexhausted\b	drained|wiped out|utterly spent
\bstressed\b	overwhelmed|under unbearable stress|on edge
\bpanicking\b	spiraling|in a panic|freaking out
\bpanic\s+attack(s)?\b	panic episode(s)|sudden panic|acute anxiety episode(s)
\banhedonia\b	loss of pleasure|no enjoyment|unable to enjoy anything
\bcan't\s+focus\b	unable to focus|can't concentrate|focus is gone
\bfocus\b	concentration|attention|mental focus
\bI\s+hate\s+myself\b	I absolutely hate myself|I loathe myself|I despise myself
\bIm\b	I'm really|I'm truly|I'm genuinely
\bI'd\s+rather\b	I would rather|I'd much rather|I'd sooner
